Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
266,1661422117469,8760.0,-204.0,416.0
267,1661422117472,8336.0,-344.0,500.0
268,1661422117473,8424.0,152.0,684.0
269,1661422117475,8496.0,-280.0,440.0
270,1661422117478,8340.0,-76.0,496.0
271,1661422117479,8632.0,196.0,664.0
272,1661422117481,8572.0,-244.0,344.0
273,1661422117484,8336.0,144.0,488.0
274,1661422117486,8512.0,-264.0,416.0
275,1661422117489,8688.0,84.0,556.0
276,1661422117490,8176.0,104.0,560.0
277,1661422117492,8808.0,-212.0,496.0
278,1661422117494,8464.0,-8.0,612.0
279,1661422117496,8508.0,108.0,580.0
280,1661422117499,8528.0,-296.0,476.0
281,1661422117501,8592.0,44.0,508.0
282,1661422117504,8292.0,-76.0,508.0
283,1661422117506,8424.0,-92.0,384.0
284,1661422117508,8492.0,-156.0,548.0
285,1661422117510,8512.0,196.0,652.0
286,1661422117512,8588.0,-268.0,300.0
287,1661422117514,8612.0,96.0,656.0
288,1661422117517,8492.0,-84.0,464.0
289,1661422117519,8628.0,-52.0,412.0
290,1661422117521,8388.0,124.0,524.0
291,1661422117523,8604.0,-76.0,520.0
292,1661422117526,8304.0,-136.0,620.0
293,1661422117527,8524.0,-12.0,460.0
294,1661422117530,8524.0,-260.0,568.0
295,1661422117532,8624.0,96.0,652.0
296,1661422117534,8408.0,192.0,508.0
297,1661422117536,8320.0,-156.0,448.0
298,1661422117539,8572.0,72.0,624.0
299,1661422117541,8288.0,-140.0,592.0
300,1661422117543,8548.0,-92.0,496.0
301,1661422117544,8256.0,-8.0,508.0
302,1661422117547,8608.0,-216.0,596.0
303,1661422117549,8616.0,-88.0,660.0
304,1661422117552,8436.0,44.0,636.0
305,1661422117554,8772.0,20.0,680.0
306,1661422117556,8448.0,-132.0,600.0
307,1661422117558,8276.0,-8.0,344.0
308,1661422117562,8400.0,-40.0,648.0
309,1661422117563,8672.0,-176.0,652.0
310,1661422117565,8476.0,32.0,584.0
311,1661422117569,8520.0,-88.0,312.0
312,1661422117569,8472.0,-160.0,700.0
313,1661422117573,8560.0,120.0,548.0
314,1661422117575,8856.0,360.0,444.0
315,1661422117576,7936.0,-228.0,300.0
316,1661422117578,8544.0,272.0,680.0
317,1661422117579,8192.0,-244.0,388.0
318,1661422117582,8312.0,220.0,560.0
319,1661422117585,8532.0,120.0,692.0
320,1661422117587,8400.0,-348.0,308.0
321,1661422117589,8568.0,216.0,520.0
322,1661422117591,8300.0,40.0,440.0
323,1661422117594,8420.0,332.0,608.0
324,1661422117595,8608.0,-12.0,784.0
325,1661422117598,8580.0,-392.0,436.0
326,1661422117599,8320.0,332.0,600.0
327,1661422117603,8656.0,-56.0,476.0
328,1661422117605,8712.0,116.0,580.0
329,1661422117606,8276.0,92.0,384.0
330,1661422117609,8616.0,-88.0,448.0
331,1661422117611,8152.0,-196.0,304.0
