Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),X_axis (),Y_axis (),Z_axis ()
419,1661422685520,8272.0,388.0,516.0
420,1661422685523,8392.0,-172.0,488.0
421,1661422685525,8768.0,296.0,428.0
422,1661422685528,8412.0,108.0,356.0
423,1661422685528,8676.0,-60.0,828.0
424,1661422685531,8716.0,-232.0,540.0
425,1661422685534,8456.0,-140.0,648.0
426,1661422685536,8740.0,136.0,568.0
427,1661422685538,8400.0,180.0,400.0
428,1661422685541,8508.0,-16.0,612.0
429,1661422685542,8460.0,-252.0,380.0
430,1661422685545,8420.0,352.0,548.0
431,1661422685546,8376.0,-564.0,328.0
432,1661422685551,8864.0,104.0,584.0
433,1661422685551,8304.0,-140.0,328.0
434,1661422685554,8820.0,104.0,580.0
435,1661422685556,8640.0,-200.0,500.0
436,1661422685558,8548.0,300.0,736.0
437,1661422685559,8392.0,-356.0,436.0
438,1661422685562,8584.0,68.0,500.0
439,1661422685564,8472.0,256.0,736.0
440,1661422685568,8272.0,-368.0,512.0
441,1661422685569,8432.0,460.0,444.0
442,1661422685571,8832.0,-252.0,436.0
443,1661422685573,8548.0,-384.0,560.0
444,1661422685576,8556.0,356.0,512.0
445,1661422685578,8620.0,-276.0,520.0
446,1661422685580,8492.0,-196.0,528.0
447,1661422685581,8576.0,308.0,532.0
448,1661422685584,8324.0,-240.0,468.0
449,1661422685587,8056.0,-156.0,680.0
450,1661422685588,8900.0,24.0,484.0
451,1661422685590,8244.0,-148.0,436.0
452,1661422685593,8688.0,300.0,648.0
453,1661422685595,8684.0,-152.0,328.0
454,1661422685597,8552.0,-36.0,492.0
455,1661422685600,8384.0,72.0,408.0
456,1661422685602,8504.0,-220.0,360.0
457,1661422685604,8260.0,-384.0,460.0
458,1661422685606,8408.0,-180.0,608.0
459,1661422685608,8644.0,-76.0,676.0
460,1661422685610,8120.0,-12.0,676.0
461,1661422685613,8756.0,80.0,544.0
462,1661422685615,8264.0,84.0,520.0
463,1661422685617,8232.0,-232.0,200.0
464,1661422685619,8644.0,-24.0,156.0
465,1661422685622,8392.0,-144.0,544.0
466,1661422685624,8168.0,92.0,336.0
467,1661422685626,8680.0,-216.0,540.0
468,1661422685628,8656.0,268.0,876.0
469,1661422685630,8604.0,-328.0,556.0
470,1661422685633,8612.0,120.0,508.0
471,1661422685635,8288.0,184.0,776.0
472,1661422685636,8548.0,-396.0,292.0
473,1661422685639,8660.0,156.0,484.0
474,1661422685641,8384.0,-156.0,544.0
475,1661422685644,8656.0,-148.0,408.0
476,1661422685645,8416.0,140.0,556.0
477,1661422685647,8564.0,-120.0,692.0
478,1661422685650,8604.0,-268.0,332.0
479,1661422685651,8500.0,172.0,504.0
480,1661422685654,8176.0,-244.0,484.0
481,1661422685657,8504.0,-84.0,504.0
482,1661422685658,8608.0,156.0,796.0
483,1661422685661,8532.0,-276.0,492.0
484,1661422685663,8328.0,124.0,380.0
